"PMID"	"YEAR"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"	"NO_CCGH"	"NO_ACGH"	"NO_WES"	"NO_WGS"	"STATUS"
15805246	2005	"Sheffield"	-1.47	53.38	"United Kingdom"	0	0	0	0	0	"incomplete"
20385361	2010	"South San Francisco"	-122.41	37.65	"United States"	0	0	0	0	0	"incomplete"
21752925	2012	"Seattle"	-122.33	47.61	"United States"	0	0	0	0	0	"incomplete"
22286216	2012	"Memphis"	-90.05	35.15	"United States"	7	0	0	0	7	"incomplete"
22292074	2012	"Amsterdam"	4.89	52.37	"Netherlands"	0	0	0	0	0	"incomplete"
22338015	2012	"Nottingham"	-1.15	52.95	"United Kingdom"	42	0	42	0	0	"incomplete"
22343890	2012	"Toronto"	-79.42	43.7	"Canada"	0	0	0	0	0	"incomplete"
22363777	2012	"Chicago"	-87.65	41.85	"United States"	0	0	0	0	0	"incomplete"
22683710	2012	"Dallas"	-96.81	32.78	"United States"	1	0	0	0	1	"incomplete"
22722845	2012	"New York City"	-74.01	40.71	"United States"	0	0	0	0	0	"incomplete"
22896685	2012	"Melbourne"	144.96	-37.81	"Australia"	0	0	0	0	0	"incomplete"
22937079	2012	"Stanford"	-122.17	37.43	"United States"	0	0	0	0	0	"incomplete"
22975378	2012	"Cambridge"	-71.11	42.38	"United States"	0	0	0	0	0	"incomplete"
24004674	2013	"Melbourne"	144.96	-37.81	"Australia"	0	0	0	0	0	"incomplete"
24081948	2013	"Hamburg"	10.02	53.58	"Germany"	0	0	0	0	0	"incomplete"
24454681	2014	"Pittsburg"	-94.7	37.41	"United States"	0	0	0	0	0	"incomplete"
24637993	2015	"Goettingen"	9.93	51.53	"Germany"	0	0	0	0	0	"incomplete"
25286758	2015	"Barcelona"	2.16	41.39	"Spain"	0	0	0	0	0	"incomplete"
25316818	2014	"Sydney"	151.21	-33.87	"Australia"	0	0	0	0	0	"incomplete"
25428357	2015	"Sao Paulo"	-46.64	-23.55	"Brazil"	0	0	0	0	0	"incomplete"
25607389	2014	"New York City"	-74.01	40.71	"United States"	0	0	0	0	0	"None"
26563871	2016	"Newcastle under Lyme"	-2.23	53	"United Kingdom"	0	0	0	0	0	"metaanalysis"
28439300	2017	"Shanghai"	121.46	31.22	"China"	0	0	0	0	0	"incomplete"
10092128	1999	"Glasgow"	-4.26	55.87	"United Kingdom"	1	1	0	0	0	"sample data in Progenetix"
10484978	1999	"Christchurch"	172.63	-43.53	"New Zealand"	1	1	0	0	0	"sample data in Progenetix"
10643003	1999	"Toronto"	-79.42	43.7	"Canada"	1	1	0	0	0	"sample data in Progenetix"
10657872	2000	"Toronto"	-79.42	43.7	"Canada"	1	1	0	0	0	"sample data in Progenetix"
10874879	2000	"Hong Kong"	114.16	22.29	"China"	1	1	0	0	0	"sample data in Progenetix"
10940769	2000	"Memphis"	-90.05	35.15	"United States"	1	1	0	0	0	"sample data in Progenetix"
10958948	2000	"Hong Kong"	114.16	22.29	"China"	1	1	0	0	0	"sample data in article or supplement"
11106828	2000	"Milano"	9.19	45.46	"Italy"	1	1	0	0	0	"sample data in Progenetix"
11170290	2001	"Fukuoka-shi"	130.42	33.61	"Japan"	1	1	0	0	0	
11255284	2001	"Pamplona"	-1.64	42.82	"Spain"	1	1	0	0	0	"sample data in Progenetix"
11453919	2001	"London"	-0.13	51.51	"United Kingdom"	1	1	0	0	0	"incomplete"
11520569	2001	"Hong Kong"	114.16	22.29	"China"	1	1	0	0	0	"sample data in article or supplement"
11701946	2001	"London"	-0.13	51.51	"United Kingdom"	1	1	0	0	0	"sample data not accessible"
11734314	2001	"Oslo"	10.75	59.91	"Norway"	1	1	0	0	0	"sample data in Progenetix"
11793447	2002	"London"	-0.13	51.51	"United Kingdom"	1	1	0	0	0	"sample data in article or supplement"
12072200	2002	"Perugia"	12.39	43.11	"Italy"	1	1	0	0	0	"sample data not accessible"
12209990	2002	"Gent"	3.72	51.05	"Belgium"	1	1	0	0	0	"sample data in article or supplement"
12220004	2002	"Genoa"	8.92	44.43	"Italy"	1	1	0	0	0	"sample data not accessible"
12454822	2002	"Barcelona"	2.16	41.39	"Spain"	1	1	0	0	0	"sample data in article or supplement"
12469140	2003	"Yamaguchi-shi"	131.47	34.19	"Japan"	1	1	0	0	0	"sample data in Progenetix"
12505254	2002	"Leipzig"	12.37	51.34	"Germany"	1	1	0	0	0	"sample data in Progenetix"
12550752	2003	"Perugia"	12.39	43.11	"Italy"	1	1	0	0	0	"sample data in Progenetix"
12552080	2003	"Bethesda"	-77.1	38.98	"United States"	1	1	0	0	0	"sample data not accessible"
12618207	2003	"Geneve"	6.15	46.2	"Switzerland"	1	1	0	0	0	"sample data in Progenetix"
12629075	2003	"Lyon"	4.85	45.75	"France"	1	1	0	0	0	"sample data in Progenetix"
12874018	2003	"Ann Arbor"	-83.74	42.28	"United States"	1	1	0	0	0	"sample data in Progenetix"
14631812	2003	"Brno"	16.61	49.2	"Czech Republic"	1	1	0	0	0	"incomplete [full text missing]"
14984937	2004	"Taipei"	121.53	25.05	"Taiwan"	1	1	0	0	0	"sample data in Progenetix"
15046038	2004	"Heidelberg"	8.69	49.41	"Germany"	1	1	0	0	0	"sample data in Progenetix"
15104284	2004	"Lisbon"	-9.13	38.72	"Portugal"	1	1	0	0	0	"sample data in Progenetix"
15237194	2004	"Taipei"	121.53	25.05	"Taiwan"	1	1	0	0	0	"sample data in article or supplement"
15350306	2004	"Toronto"	-79.42	43.7	"Canada"	1	0	1	0	0	"sample data in article or supplement"
15358570	2004	"Goettingen"	9.93	51.53	"Germany"	1	1	0	0	0	"incomplete [full text missing]"
15381376	2004	"London"	-0.13	51.51	"United Kingdom"	1	1	0	0	0	"sample data not accessible"
15493339	2003	"Homburg"	7.34	49.33	"Germany"	1	1	0	0	0	"sample data in Progenetix"
15647670	2005	"Lisbon"	-9.13	38.72	"Portugal"	1	1	0	0	0	"sample data in Progenetix"
15656903	2005	"Madrid"	-3.7	40.42	"Spain"	1	0	1	0	0	"sample data in article or supplement"
15721631	2005	"Bethesda"	-77.1	38.98	"United States"	1	1	0	0	0	"sample data in Progenetix"
15838649	2005	"Otsu-shi"	135.87	35	"Japan"	1	1	0	0	0	"sample data in Progenetix"
15925987	2005	"Dresden"	13.74	51.05	"Germany"	1	1	0	0	0	"sample data in Progenetix"
16010416	2005	"Omaha"	-95.94	41.26	"United States"	1	1	0	0	0	"sample data in Progenetix"
16032388	2005	"Bochum"	7.22	51.48	"Germany"	1	1	0	0	0	"sample data in Progenetix"
16080955	2005	"Niigata-shi"	139.02	37.9	"Japan"	1	1	0	0	0	"sample data in Progenetix"
16130014	2005	"London"	-0.13	51.51	"United Kingdom"	1	0	1	0	0	"sample data not accessible"
16538064	2006	"Busan"	129.04	35.1	"Korean Republic"	1	1	0	0	0	"sample data not accessible"
17016719	2006	"Bochum"	7.22	51.48	"Germany"	1	1	0	0	0	"sample data in Progenetix"
17175374	2007	"Leiden"	4.5	52.16	"The Netherlands"	1	0	1	0	0	"sample data in article or supplement"
17175386	2007	"Lund"	13.19	55.71	"Sweden"	1	1	1	0	0	"sample data in Progenetix"
17220660	2006	"Erlangen"	11.01	49.59	"Germany"	1	1	0	0	0	"incomplete"
17325662	2007	"Ehime"	132.77	33.84	"Japan"	1	0	1	0	0	"sample data in article or supplement [problematic format]"
17350466	2007	"Magdeburg"	11.63	52.13	"Germany"	1	1	0	0	0	"sample data in Progenetix"
17405156	2008	"Buenos Aires"	-58.38	-34.61	"Argentina"	1	1	0	0	0	"sample data in Progenetix"
17846504	2007	"Chungju-si"	127.93	36.99	"Korean Republic"	1	0	1	0	0	"sample data in Progenetix"
17954265	2007	"Leipzig"	12.37	51.34	"Germany"	1	0	1	0	0	"sample data not accessible"
18068535	2008	"San Luis Potosi"	-100.98	22.15	"Mexico"	1	0	1	0	0	"sample data in Progenetix"
18227702	2008	"Rotterdam"	4.48	51.92	"The Netherlands"	1	1	0	0	0	"sample data in Progenetix"
18295659	2008	"Toronto"	-79.42	43.7	"Canada"	1	0	1	0	0	"sample data in article or supplement"
18323782	2008	"San Francisco"	-122.42	37.77	"United States"	1	0	1	0	0	"sample data in article or supplement [problematic format]"
18350142	2008	"Yokohama"	139.64	35.45	"Japan"	1	0	1	0	0	"sample data in GEO"
18352813	2008	"Lisbon"	-9.13	38.72	"Portugal"	1	1	0	0	0	"sample data in Progenetix"
18402841	2009	"Kingston"	-76.48	44.23	"Canada"	1	0	1	0	0	"sample data in Progenetix"
18503832	2008	"Budapest"	19.04	47.5	"Hungary"	1	1	0	0	0	"sample data in Progenetix"
18510704	2008	"Uppsala"	17.64	59.86	"Sweden"	1	0	1	0	0	"sample data in Progenetix"
18544918	2008	"Vienna"	16.37	48.21	"Austria"	1	1	1	0	0	"sample data in article or supplement [problematic format]"
18547614	2008	"Nuernberg"	11.08	49.45	"Germany"	1	1	0	0	0	"sample data in Progenetix"
18617056	2008	"Leipzig"	12.37	51.34	"Germany"	1	0	1	0	0	"sample data in article or supplement"
18656692	2008	"Frankfurt am Main"	8.68	50.12	"Germany"	1	0	1	0	0	"sample data in Progenetix"
18656693	2008	"Oklahoma City"	-97.52	35.47	"United States"	1	0	1	0	0	"sample data in article or supplement"
18767145	2008	"Lille"	3.06	50.63	"France"	1	0	1	0	0	"sample data in article or supplement"
18923523	2008	"Paris"	2.35	48.85	"France"	1	0	1	0	0	"sample data in GEO"
18987736	2008	"st.louis"	-90.2	38.63	"United States"	1	0	0	0	1	"incomplete"
19057917	2009	"Heidelberg"	8.69	49.41	"Germany"	1	0	1	0	0	"sample data in Progenetix"
19077038	2009	"Sao Paulo"	-46.64	-23.55	"Brazil"	1	1	0	0	0	"sample data in Progenetix"
19171881	2009	"Rotterdam"	4.48	51.92	"The Netherlands"	1	0	1	0	0	"incomplete [full text missing]"
19231929	2009	"Tokyo"	139.69	35.69	"Japan"	1	1	0	0	0	"sample data in Progenetix"
19433347	2010	"Taipei"	121.53	25.05	"Taiwan"	1	1	1	0	0	"sample data in article or supplement"
19454499	2009	"Salisbury"	-1.8	51.07	"United Kingdom"	1	0	1	0	0	"sample data in article or supplement"
19507254	2009	"Glasgow"	-4.26	55.87	"United Kingdom"	1	0	1	0	0	"sample data not accessible"
19544327	2009	"Sutton"	-0.2	51.35	"United Kingdom"	1	0	1	0	0	"sample data in article or supplement"
19570424	2009	"Hangzhou"	120.16	30.29	"China"	1	0	1	0	0	"incomplete [full text missing]"
19751244	2010	"Bari"	16.86	41.11	"Italy"	1	0	1	0	0	"sample data in article or supplement"
19773435	2009	"Rochester"	-70.98	43.3	"United States"	1	0	1	0	0	"sample data not accessible"
19781438	2009	"San Luis Potosi"	-100.98	22.15	"Mexico"	1	0	1	0	0	"incomplete"
19877783	2009	"Heidelberg"	8.69	49.41	"Germany"	1	1	0	0	0	"sample data not accessible"
19926586	2009	"New York City"	-74.01	40.71	"United States"	1	0	1	0	0	"sample data not accessible"
20082856	2010	"Oklahoma City"	-97.52	35.47	"United States"	1	0	1	0	0	"sample data in Progenetix"
20086242	2010	"Athens"	-86.97	34.8	"United States"	1	0	1	0	0	"sample data in GEO"
20113846	2010	"Aarhus"	10.21	56.16	"Denmark"	1	1	1	0	0	"sample data in Progenetix"
20126413	2010	"Los Angeles"	-118.24	34.05	"United States"	1	0	1	0	0	"sample data not accessible"
20128822	2010	"Otsu-shi"	135.87	35	"Japan"	1	0	1	0	0	"sample data in Progenetix"
20185201	2010	"Seoul"	126.98	37.57	"Korean Republic"	1	0	1	0	0	"sample data in Progenetix"
20187926	2010	"Rotterdam"	4.48	51.92	"The Netherlands"	1	0	1	0	0	"sample data not accessible"
20193843	2010	"Brno"	16.61	49.2	"Czech Republic"	1	0	1	0	0	"sample data not accessible"
20197395	2010	"Houston"	-95.36	29.76	"United States"	1	0	1	0	0	"sample data not accessible"
20226524	2010	"Amsterdam"	4.89	52.37	"Netherlands"	1	0	1	0	0	"sample data in GEO"
20369283	2010	"Barcelona"	2.16	41.39	"Spain"	1	0	1	0	0	"sample data not accessible"
20603582	2010	"Busan"	129.04	35.1	"Korean Republic"	1	0	1	0	0	"sample data in Progenetix"
20935257	2011	"Valencia"	-0.38	39.47	"Spain"	1	0	1	0	0	"sample data in article or supplement"
21106420	2011	"Kochi-shi"	133.53	33.56	"Japan"	1	1	0	0	0	"sample data in Progenetix"
21156256	2010	"Goettingen"	9.93	51.53	"Germany"	1	1	0	0	0	"sample data in Progenetix"
21272361	2011	"Montreal"	-73.59	45.51	"Canada"	1	0	1	0	0	"sample data not accessible"
21481528	2011	"Seoul"	126.98	37.57	"Korean Republic"	1	0	1	0	0	"sample data in Progenetix"
21505135	2011	"st.louis"	-90.2	38.63	"United States"	1	0	0	0	1	"incomplete"
21536236	2011	"Melbourne"	144.96	-37.81	"Australia"	1	0	1	0	0	"sample data not accessible"
21538823	2011	"New Haven"	-72.93	41.31	"United States"	1	0	1	0	0	"sample data in Progenetix"
21540569	2011	"Milano"	9.19	45.46	"Italy"	1	0	1	0	0	"sample data in article or supplement"
21555877	2011	"Oslo"	10.75	59.91	"Norway"	1	0	1	0	0	"sample data in GEO"
21557900	2011	"Qingdao"	120.37	36.07	"China"	1	0	1	0	0	"incomplete [full text missing]"
21592547	2011	"Bologna"	11.34	44.49	"Italy"	1	0	1	0	0	"sample data not accessible"
21711345	2011	"Madrid"	-3.7	40.42	"Spain"	1	1	0	0	0	"sample data not accessible"
21720744	2012	"Seoul"	126.98	37.57	"Korean Republic"	1	0	1	0	0	"sample data in Progenetix"
21763630	2011	"Oklahoma City"	-97.52	35.47	"United States"	1	0	1	0	0	"sample data in Progenetix"
21763633	2011	"Winnipeg"	-97.15	49.88	"Canada"	1	0	1	0	0	"sample data not accessible"
21837708	2011	"Taipei"	121.53	25.05	"Taiwan"	1	1	0	0	0	"sample data not accessible"
21890199	2012	"Kingston"	-76.48	44.23	"Canada"	1	0	1	0	0	"sample data in Progenetix"
21939546	2011	"Strasbourg"	7.75	48.58	"France"	1	0	1	0	0	"sample data not accessible"
21962078	2011	"Sao Paulo"	-46.64	-23.55	"Brazil"	1	0	1	0	0	"sample data not accessible"
21965128	2012	"Nagoya-shi"	136.91	35.18	"Japan"	1	0	1	0	0	"sample data in Progenetix"
21986343	2012	"Greifswald"	13.39	54.09	"Germany"	1	0	1	0	0	"sample data not accessible"
21989022	2011	"Valencia"	-0.38	39.47	"Spain"	1	0	1	0	0	"sample data not accessible"
22014070	2011	"Oslo"	10.75	59.91	"Norway"	1	0	1	0	0	"sample data in Progenetix"
22018273	2011	"Genoa"	8.92	44.43	"Italy"	1	0	1	0	0	"sample data in Progenetix"
22052684	2012	"Nagoya-shi"	136.91	35.18	"Japan"	1	0	1	0	0	"sample data in Progenetix"
22105811	2012	"Salt Lake City"	-111.89	40.76	"United States"	1	0	1	0	0	"sample data not accessible"
22140075	2012	"Matsumoto"	137.97	36.23	"Japan"	1	0	1	0	0	"sample data not accessible"
22200087	2011	"Jilin"	126.56	43.85	"China"	1	0	1	0	0	"sample data not accessible"
